Tweets,Polarity,Subjectivity,overall
"To avoid further confusion, we are taking down the previous thread on the #COVID19 ""immunity passport"", but you can still see it here👇 https://t.co/bLx3bRDaTB",-0.10740740740740741,0.31851851851851853,negative
"What we don't yet know is the level of protection or how long it will last. We are working with scientists around the world to better understand the body's response to #COVID19 infection. So far, no studies have answered these important questions. https://t.co/DisLjWCa4U",0.19,0.5933333333333334,positive
"Earlier today we tweeted about a new WHO scientific brief on ""immunity passports"". The thread caused some concern &amp; we would like to clarify:

We expect that most people who are infected with #COVID19 will develop an antibody response that will provide some level of protection. https://t.co/AmxvQQLTjM",0.1590909090909091,0.44696969696969696,positive
"Investments in the fight against #malaria support the fight against #COVID19 and save lives of the most vulnerable:
🤰🏿  pregnant women
🧒🏾 children
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/OkIuBJWvJU",0.1111111111111111,0.5,positive
"The toll of #malaria won’t stop as the #COVID19 pandemic evolves. A stall in action now will bring unnecessary suffering and loss of life
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/mGCb5id43N",-0.15000000000000002,0.5,negative
"Robust health systems are a first line of defense against age-old public health challenges such as #malaria, and new ones like #COVID19
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/JXuOJ7WhO6",0.09659090909090909,0.3386363636363636,positive
"RT @antonioguterres: As we work on tackling #COVID19, we can't afford to lose ground on the gains we have made against other diseases like…",-0.125,0.375,negative
"Investments in #malaria prevention can help ease the strain on health facilities overburdened by the response to #COVID19
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/XbTFi9AD26",0.0,0.0,neutral
"Stepped-up investment in new tools and technologies can help us beat #malaria and other deadly diseases such as #COVID19

👉 https://t.co/SvhHzWRAFO

#WorldMalariaDay https://t.co/9Wg2FEI1IU",-0.047159090909090914,0.4323863636363636,negative
RT @WHOAFRO: The @UN 'Solidarity Flight' carrying #COVID19 medical supplies donated by @WHO &amp; @foundation_ma has now reached over 80% of Af…,0.0,0.0,neutral
RT @WHOPhilippines: Investments in the fight against malaria support the fight against #COVID19 and save lives of the most vulnerable: preg…,0.0,0.5,neutral
"RT @DrTedros: Our shared commitment is to ensure ALL people have access to ALL the tools to defeat #COVID19.

https://t.co/6CCTWrPDSU",0.0,0.0,neutral
"RT @DrTedros: We can only fight #COVID19 &amp; keep the world safe in unity. We are so glad that our key partners @gavi, @GlobalFund, @CEPIvacc…",0.25,0.875,positive
RT @DrTedros: R&amp;D plays a central role in combating #COVID19. Today @WHO is proud to unite with partners &amp; launch the Access to COVID-19 To…,0.4,0.625,positive
"#COVID19 is confronting families globally with the deadly and devastating impacts of disease outbreaks.

In the midst of this crisis, we must also work to ensure all people are protected against diseases for which we have vaccines to prevent.

#VaccinesWork for all! https://t.co/XDlM2tAi5c",-0.39999999999999997,0.4666666666666666,negative
"A Global Collaboration to Accelerate the Development, Production and Equitable Access to New #COVID19 diagnostics, therapeutics and vaccines: Access to COVID-19 Tools (act) Accelerator 👉
https://t.co/TPsBxx9jaN",0.06818181818181818,0.22727272727272727,positive
"""And I would especially like to thank Sir Andrew Witty and Dr Ngozi Okonjo-Iweala for agreeing to act as Special Envoys for the ACT Accelerator.

We are facing a common threat, which we can only defeat with a common approach""-@DrTedros #COVID19",0.042857142857142864,0.7619047619047619,positive
"""Each of us are doing great work, but we cannot work alone.

We’re coming together to work in new ways to identify challenges and solutions together""-@DrTedros #COVID19",0.4681818181818182,0.6022727272727273,positive
"""Our shared commitment is to ensure all people have access to all the tools to defeat #COVID19. 

The ACT Accelerator brings together the combined power of several organizations to work with speed and scale""-@DrTedros",0.0,0.0,neutral
"""This is a landmark collaboration to accelerate the development, production and equitable distribution of vaccines, diagnostics, and therapeutics for #COVID19""-@DrTedros",0.0,0.0,neutral
"""Today, WHO is proud to be uniting with many partners to launch the Access to #COVID19 Tools Accelerator, or the ACT Accelerator""-@DrTedros",0.65,0.75,positive
"""Past experience has taught us that even when tools are available, they have been not been equally available to all. 

We cannot allow that to happen""-@DrTedros #COVID19",0.18333333333333335,0.35000000000000003,positive
